Influencer,Platform,Followers,Engagement_Rate,Category
Influencer_164,YouTube,680000,7,Gaming
Influencer_165,TikTok,310000,8.5,Entertainment
Influencer_166,Instagram,215000,5.4,Food
Influencer_167,YouTube,590000,6.3,Education
Influencer_168,TikTok,410000,8.7,Comedy
Influencer_169,Instagram,520000,5.6,Fitness
Influencer_170,YouTube,850000,7.5,Technology
Influencer_171,TikTok,280000,9,Dance
Influencer_172,Instagram,340000,5.1,Travel
Influencer_173,YouTube,730000,7.3,Gaming
Influencer_174,TikTok,360000,8.8,Entertainment
Influencer_175,Instagram,300000,4.7,Fashion
Influencer_176,YouTube,620000,6.6,Education
Influencer_177,TikTok,200000,8.2,Comedy
Influencer_178,Instagram,540000,5.8,Food
Influencer_179,YouTube,810000,7.6,Technology
Influencer_180,TikTok,315000,9.3,Dance
