Song,Artist,Genre,Duration,Streams,Release_Year
Song_166,Artist_166,EDM,6.77,5910000,2025
Song_167,Artist_167,Country,3.49,2340000,2025
Song_168,Artist_168,R&B,4.21,4560000,2025
Song_169,Artist_169,Reggae,3.71,1050000,2023
Song_170,Artist_170,Blues,4.51,1010000,2022
Song_171,Artist_171,Pop,5.34,6920000,2025
Song_172,Artist_172,Rock,3.34,3670000,2025
Song_173,Artist_173,Hip-Hop,4.17,7800000,2025
Song_174,Artist_174,Jazz,3.63,1100000,2023
Song_175,Artist_175,Classical,5.07,730000,2022
Song_176,Artist_176,EDM,6.52,6030000,2025
Song_177,Artist_177,Country,3.51,2390000,2025
Song_178,Artist_178,R&B,4.37,4670000,2025
Song_179,Artist_179,Reggae,3.89,1060000,2024
Song_180,Artist_180,Blues,4.46,1030000,2023
Song_181,Artist_181,Pop,5.26,7040000,2025
Song_182,Artist_182,Rock,3.23,3780000,2025
Song_183,Artist_183,Hip-Hop,4.09,7920000,2025
Song_184,Artist_184,Jazz,3.61,1110000,2024
Song_185,Artist_185,Classical,5.19,740000,2023
Song_186,Artist_186,EDM,6.62,6150000,2025
Song_187,Artist_187,Country,3.44,2440000,2025
Song_188,Artist_188,R&B,4.33,4780000,2025
Song_189,Artist_189,Reggae,3.82,1070000,2024
Song_190,Artist_190,Blues,4.57,1050000,2023
Song_191,Artist_191,Pop,5.31,7160000,2025
Song_192,Artist_192,Rock,3.36,3890000,2025
Song_193,Artist_193,Hip-Hop,4.04,8040000,2025
Song_194,Artist_194,Jazz,3.66,1120000,2024
Song_195,Artist_195,Classical,5.13,750000,2023
Song_196,Artist_196,EDM,6.7,6270000,2025
Song_197,Artist_197,Country,3.59,2490000,2025
Song_198,Artist_198,R&B,4.25,4890000,2025
Song_199,Artist_199,Reggae,3.94,1080000,2024
Song_200,Artist_200,Blues,4.43,1070000,2023
Song_201,Artist_201,Pop,5.29,7280000,2025
Song_202,Artist_202,Rock,3.17,4000000,2025
Song_203,Artist_203,Hip-Hop,4.12,8160000,2025
Song_204,Artist_204,Jazz,3.53,1130000,2024
Song_205,Artist_205,Classical,5.04,760000,2023
Song_206,Artist_206,EDM,6.57,6390000,2025
Song_207,Artist_207,Country,3.41,2540000,2025
Song_208,Artist_208,R&B,4.39,5000000,2025
Song_209,Artist_209,Reggae,3.8,1090000,2024
Song_210,Artist_210,Blues,4.54,1090000,2023
Song_211,Artist_211,Pop,5.37,7400000,2025
Song_212,Artist_212,Rock,3.21,4110000,2025
Song_213,Artist_213,Hip-Hop,4.1,8280000,2025
Song_214,Artist_214,Jazz,3.58,1140000,2024
Song_215,Artist_215,Classical,5.22,770000,2023
Song_216,Artist_216,EDM,6.68,6510000,2025
Song_217,Artist_217,Country,3.39,2590000,2025
Song_218,Artist_218,R&B,4.18,5110000,2025
Song_219,Artist_219,Reggae,3.91,1100000,2024
Song_220,Artist_220,Blues,4.41,1110000,2023
Song_221,Artist_221,Pop,5.23,7520000,2025
Song_222,Artist_222,Rock,3.27,4220000,2025
Song_223,Artist_223,Hip-Hop,4.01,8400000,2025
Song_224,Artist_224,Jazz,3.75,1150000,2024
Song_225,Artist_225,Classical,5.06,780000,2023
Song_226,Artist_226,EDM,6.73,6630000,2025
Song_227,Artist_227,Country,3.45,2640000,2025
Song_228,Artist_228,R&B,4.27,5220000,2025
Song_229,Artist_229,Reggae,3.83,1110000,2024
Song_230,Artist_230,Blues,4.5,1130000,2023
Song_231,Artist_231,Pop,5.33,7640000,2025
Song_232,Artist_232,Rock,3.19,4330000,2025
Song_233,Artist_233,Hip-Hop,4.08,8520000,2025
Song_234,Artist_234,Jazz,3.55,1160000,2024
Song_235,Artist_235,Classical,5.15,790000,2023
Song_236,Artist_236,EDM,6.6,6750000,2025
Song_237,Artist_237,Country,3.52,2690000,2025
Song_238,Artist_238,R&B,4.35,5330000,2025
Song_239,Artist_239,Reggae,3.78,1120000,2024
Song_240,Artist_240,Blues,4.59,1150000,2023
Song_241,Artist_241,Pop,5.38,7760000,2025
Song_242,Artist_242,Rock,3.3,4440000,2025
Song_243,Artist_243,Hip-Hop,4.2,8640000,2025
Song_244,Artist_244,Jazz,3.7,1170000,2024
Song_245,Artist_245,Classical,5,800000,2023
Song_246,Artist_246,EDM,6.75,6870000,2025
Song_247,Artist_247,Country,04:15,2740000,2025
Song_248,Artist_248,R&B,03:54,5440000,2025
Song_249,Artist_249,Reggae,04:27,1130000,2024
Song_250,Artist_250,Blues,05:20,1170000,2023
