Delivery_ID,Restaurant,Distance (km),Delivery_Time (min),Delivery_Partner,Rating
D098,Spice Garden,4.3,38,Ravi,4.4
D099,Food Corner,6.3,54,Suresh,3.9
D100,Tasty Treats,5.7,51,Mohan,4.1
D101,Pizza Hub,4.8,42,Rahul,4.4
D102,Burger Point,6.7,58,Amit,3.9
D103,Spice Garden,2.3,26,Ravi,4.8
D104,Food Corner,8.5,75,Suresh,3.6
D105,Tasty Treats,5.2,46,Mohan,4.2
D106,Pizza Hub,3.6,33,Rahul,4.7
D107,Burger Point,7.4,63,Amit,3.8
D108,Spice Garden,4,36,Ravi,4.5
D109,Food Corner,9.3,86,Suresh,3.4
D110,Tasty Treats,2.8,28,Mohan,4.8
D111,Pizza Hub,5.6,48,Rahul,4.3
D112,Burger Point,6.1,54,Amit,4
D113,Spice Garden,3.2,31,Ravi,4.6
D114,Food Corner,8.9,80,Suresh,3.5
D115,Tasty Treats,4.7,41,Mohan,4.4
D116,Pizza Hub,7,60,Rahul,3.9
D117,Burger Point,2.5,27,Amit,4.8
D118,Spice Garden,5.9,51,Ravi,4.1
D119,Food Corner,6.8,59,Suresh,3.7
D120,Tasty Treats,3.3,30,Mohan,4.6
D121,Pizza Hub,4.5,39,Rahul,4.5
D122,Burger Point,8.2,71,Amit,3.6
D123,Spice Garden,2.1,24,Ravi,4.9
D124,Food Corner,9.6,91,Suresh,3.2
D125,Tasty Treats,5.3,47,Mohan,4.2
D126,Pizza Hub,3.7,34,Rahul,4.7
D127,Burger Point,6.4,56,Amit,3.9
D128,Spice Garden,4.4,38,Ravi,4.5
D129,Food Corner,7.6,65,Suresh,3.8
D130,Tasty Treats,2.7,27,Mohan,4.8
D131,Pizza Hub,5.5,49,Rahul,4.3
D132,Burger Point,7.8,67,Amit,3.7
D133,Spice Garden,3,29,Ravi,4.7
D134,Food Corner,8.7,77,Suresh,3.5
D135,Tasty Treats,4.9,43,Mohon,4.4
D136,Pizza Hub,6.2,55,Rahul,4
D137,Burger Point,2.2,25,Amit,4.9
D138,Spice Garden,5.7,50,Ravi,4.2
D139,Food Corner,9.1,83,Suresh,3.4
D140,Tasty Treats,3.5,32,Mohan,4.6
D141,Pizza Hub,4.1,37,Rahul,4.5
D142,Burger Point,6.6,57,Amit,3.9
D143,Spice Garden,2.9,28,Ravi,4.8
D144,Food Corner,8.4,73,Suresh,3.6
D145,Tasty Treats,5.8,51,Mohan,4.1
D146,Pizza Hub,3.4,31,Rahul,4.7
D147,Burger Point,7.2,62,Amit,3.8
D148,Spice Garden,4.6,40,Ravi,4.5
D149,Food Corner,9.8,94,Suresh,3.1
D150,Tasty Treats,2.6,26,Mohan,4.8
D151,Pizza Hub,5.1,45,Rahul,4.3
D152,Burger Point,6.3,55,Amit,4
D153,Spice Garden,3.8,35,Ravi,4.6
D154,Food Corner,7.9,69,Suresh,3.7
D155,Tasty Treats,4.3,38,Mohan,4.4
D156,Pizza Hub,8.6,76,Rahul,3.6
D157,Burger Point,2.4,25,Amit,4.9
D158,Spice Garden,5.4,47,Ravi,4.2
D159,Food Corner,9.2,85,Suresh,3.4
D160,Tasty Treats,3.1,29,Mohan,4.7
D161,Pizza Hub,6,52,Rahul,4.1
D162,Burger Point,7.5,64,Amit,3.8
D163,Spice Garden,4.2,37,Ravi,4.5
D164,Food Corner,8.8,79,Suresh,3.5
D165,Tasty Treats,5.6,49,Mohan,4.3
D166,Pizza Hub,3.3,30,Rahul,4.7
D167,Burger Point,6.9,60,Amit,3.9
D168,Spice Garden,2,23,Ravi,4.9
D169,Food Corner,9.5,90,Suresh,3.2
D170,Tasty Treats,4.8,42,Mohan,4.4
D171,Pizza Hub,5.7,50,Rahul,4.2
D172,Burger Point,8,70,Amit,3.6
D173,Spice Garden,3.5,32,Ravi,4.7
D174,Food Corner,7.3,63,Suresh,3.8
D175,Tasty Treats,2.8,27,Mohan,4.8
D176,Pizza Hub,4.6,40,Rahul,4.5
D177,Burger Point,6.5,56,Amit,4
D178,Spice Garden,5.2,46,Ravi,4.3
D179,Food Corner,9.7,93,Suresh,3.1
D180,Tasty Treats,3.9,36,Mohan,4.6
D181,Pizza Hub,7.1,61,Rahul,3.9
D182,Burger Point,2.3,25,Amit,4.8
D183,Spice Garden,4.7,41,Ravi,4.4
D184,Food Corner,8.3,72,Suresh,3.6
D185,Tasty Treats,5.5,48,Mohan,4.2
D186,Pizza Hub,3.2,30,Rahul,4.7
D187,Burger Point,6.8,58,Amit,3.9
D188,Spice Garden,2.7,27,Ravi,4.8
D189,Food Corner,9.4,88,Suresh,3.3
D190,Tasty Treats,4,37,Mohan,4.5
D191,Pizza Hub,5.9,51,Rahul,4.1
D192,Burger Point,7.6,66,Amit,3.8
D193,Spice Garden,3.6,33,Ravi,4.6
D194,Food Corner,8.9,81,Suresh,3.5
D195,Tasty Treats,4.5,39,Mohan,4.4
D196,Pizza Hub,6.3,54,Rahul,4
D197,Burger Point,2.1,24,Amit,4.9
D198,Spice Garden,5.8,50,Ravi,4.2
D199,Food Corner,7.7,67,Suresh,3.7
D200,Tasty Treats,3.7,34,Mohan,4.6
