Day,Units_Consumed,Temperature,City
Day_100,250,32,Delhi
Day_101,315,41,Pune
Day_102,285,36,Mumbai
Day_103,340,43,Chennai
Day_104,260,33,Bangalore
Day_105,300,38,Delhi
Day_106,235,30,Pune
Day_107,330,42,Mumbai
Day_108,275,35,Chennai
Day_109,305,39,Bangalore
Day_110,245,31,Delhi
Day_111,320,40,Pune
Day_112,290,37,Mumbai
Day_113,350,45,Chennai
Day_114,255,32,Bangalore
Day_115,310,38,Delhi
Day_116,270,34,Pune
Day_117,335,42,Mumbai
Day_118,280,36,Chennai
Day_119,300,38,Bangalore
Day_120,240,30,Delhi
Day_121,325,41,Pune
Day_122,265,33,Mumbai
Day_123,295,37,Chennai
Day_124,340,43,Bangalore
Day_125,255,32,Delhi
Day_126,280,36,Pune
Day_127,315,41,Mumbai
Day_128,265,34,Chennai
Day_129,300,38,Bangalore
Day_130,240,30,Delhi
Day_131,325,40,Pune
Day_132,285,36,Mumbai
Day_133,350,45,Chennai
Day_134,260,33,Bangalore
Day_135,305,39,Delhi
Day_136,235,29,Pune
Day_137,330,42,Mumbai
Day_138,275,35,Chennai
Day_139,310,38,Bangalore
Day_140,245,31,Delhi
Day_141,320,40,Pune
Day_142,290,37,Mumbai
Day_143,335,42,Chennai
Day_144,270,34,Bangalore
Day_145,300,38,Delhi
Day_146,250,32,Pune
Day_147,315,41,Mumbai
Day_148,280,35,Chennai
Day_149,345,44,Bangalore
Day_150,260,33,Delhi
Day_151,295,37,Pune
Day_152,235,30,Mumbai
Day_153,325,40,Chennai
Day_154,285,36,Bangalore
Day_155,310,39,Delhi
Day_156,245,31,Pune
Day_157,335,42,Mumbai
Day_158,270,34,Chennai
Day_159,300,38,Bangalore
Day_160,255,32,Delhi
Day_161,320,40,Pune
Day_162,290,37,Mumbai
Day_163,350,45,Chennai
Day_164,265,34,Bangalore
Day_165,305,39,Delhi
Day_166,240,30,Pune
Day_167,330,42,Mumbai
Day_168,275,35,Chennai
Day_169,315,41,Bangalore
Day_170,250,32,Delhi
Day_171,325,40,Pune
Day_172,285,36,Mumbai
Day_173,340,43,Chennai
Day_174,260,33,Bangalore
Day_175,300,38,Delhi
Day_176,235,29,Pune
Day_177,310,39,Mumbai
Day_178,280,35,Chennai
Day_179,345,44,Bangalore
Day_180,255,32,Delhi
Day_181,295,37,Pune
Day_182,270,34,Mumbai
Day_183,335,42,Chennai
Day_184,245,31,Bangalore
Day_185,320,40,Delhi
Day_186,290,37,Pune
Day_187,350,45,Mumbai
Day_188,265,34,Chennai
Day_189,305,39,Bangalore
Day_190,240,30,Delhi
Day_191,325,40,Pune
Day_192,280,36,Mumbai
Day_193,315,41,Chennai
Day_194,250,32,Bangalore
Day_195,340,43,Delhi
Day_196,275,35,Pune
Day_197,300,38,Mumbai
Day_198,255,33,Chennai
Day_199,330,42,Bangalore
Day_200,285,36,Delhi
Day_201,310,39,Pune
Day_202,245,31,Mumbai
Day_203,335,42,Chennai
Day_204,270,34,Bangalore
Day_205,295,37,Delhi
Day_206,235,29,Pune
Day_207,320,40,Mumbai
Day_208,280,35,Chennai
Day_209,345,44,Bangalore
Day_210,260,33,Delhi
Day_211,305,39,Pune
Day_212,250,32,Mumbai
Day_213,325,41,Chennai
Day_214,290,37,Bangalore
Day_215,350,45,Delhi
Day_216,265,34,Pune
Day_217,300,38,Mumbai
Day_218,240,30,Chennai
Day_219,330,42,Bangalore
Day_220,275,35,Delhi
Day_221,315,41,Pune
Day_222,255,32,Mumbai
Day_223,340,43,Chennai
Day_224,285,36,Bangalore
Day_225,310,39,Delhi
Day_226,245,31,Pune
Day_227,335,42,Mumbai
Day_228,270,34,Chennai
Day_229,295,37,Bangalore
Day_230,250,32,Delhi
Day_231,325,40,Pune
Day_232,280,35,Mumbai
Day_233,345,44,Chennai
Day_234,260,33,Bangalore
Day_235,305,39,Delhi
Day_236,235,29,Pune
Day_237,320,40,Mumbai
Day_238,275,35,Chennai
Day_239,350,45,Bangalore
Day_240,265,34,Delhi
Day_241,300,38,Pune
Day_242,240,30,Mumbai
Day_243,330,42,Chennai
Day_244,285,36,Bangalore
