Farmer_ID,Crop_Type,Soil_Type,Farming_Method,Season,Farmer_Age,Land_Area_Acres,Yield_Tons
F059,Cotton,Black,Traditional,Summer,54,29,9
F060,Sugarcane,Clay,Organic,Winter,47,22,13.1
F061,Wheat,Loamy,Modern,Winter,34,10,7.6
F062,Rice,Clay,Traditional,Monsoon,38,12,7.9
F063,Maize,Sandy,Organic,Summer,31,8,5.7
F064,Cotton,Black,Modern,Summer,56,31,9.4
F065,Sugarcane,Loamy,Traditional,Winter,49,25,13.6
F066,Wheat,Clay,Organic,Winter,42,16,8.8
F067,Rice,Loamy,Modern,Monsoon,36,13,8.4
F068,Maize,Sandy,Traditional,Summer,33,10,6.3
F069,Cotton,Black,Organic,Summer,50,24,8.1
F070,Sugarcane,Clay,Modern,Winter,53,26,14
F071,Wheat,Loamy,Traditional,Winter,40,14,8.6
F072,Rice,Clay,Organic,Monsoon,44,19,9.2
F073,Maize,Sandy,Modern,Summer,29,7,5.4
F074,Cotton,Black,Traditional,Summer,48,22,7.8
F075,Sugarcane,Loamy,Organic,Winter,46,21,12.7
F075,Sugarcane,Loamy,Organic,Winter,46,21,12.7
F076,Wheat,Clay,Modern,Winter,38,15,8.1
F077,Rice,Loamy,Traditional,Monsoon,43,17,8.9
F078,Maize,Sandy,Organic,Summer,34,9,6
F079,Cotton,Black,Modern,Summer,55,30,9.1
F080,Sugarcane,Clay,Traditional,Winter,51,23,13.4
F081,Wheat,Loamy,Organic,Winter,36,11,7.7
F082,Rice,Clay,Modern,Monsoon,39,14,8.3
F083,Maize,Sandy,Traditional,Summer,30,8,5.6
F084,Cotton,Black,Organic,Summer,52,26,8.6
F085,Sugarcane,Loamy,Modern,Winter,44,20,13
F086,Wheat,Clay,Traditional,Winter,41,18,8.7
F087,Rice,Loamy,Organic,Monsoon,37,12,7.8
F088,Maize,Sandy,Modern,Summer,28,6,5.2
F089,Cotton,Black,Traditional,Summer,57,32,9.5
F090,Sugarcane,Clay,Organic,Winter,50,24,13.7
F091,Wheat,Loamy,Modern,Winter,35,13,7.9
F092,Rice,Clay,Traditional,Monsoon,46,20,9.5
F093,Maize,Sandy,Organic,Summer,31,9,5.9
F094,Cotton,Black,Modern,Summer,53,28,8.8
F095,Sugarcane,Loamy,Traditional,Winter,48,22,13.3
F096,Wheat,Clay,Organic,Winter,40,16,8.5
F097,Rice,Loamy,Modern,Monsoon,34,11,7.6
F098,Maize,Sandy,Traditional,Summer,29,7,5.3
F099,Cotton,Black,Organic,Summer,51,25,8.4
F100,Sugarcane,Loamy,Modern,Winter,47,,
