Reading_ID,Temperature,Pressure,Battery_Level,Terrain_Type,Signal_Strength
376,-52.2,707,68,Valley,86
377,-56.9,733,67,Rocky,75
378,-57.6,735,66,Sandy,73
379,-51.1,701,65,Crater,87
380,-50.7,698,64,Valley,89
381,-54.2,717,63,Rocky,82
382,-55.6,724,62,Sandy,78
383,-53.4,711,61,Crater,84
384,-52.7,709,60,Valley,85
385,-56.7,731,59,Rocky,75
386,-57.4,736,58,Sandy,72
387,-51.5,703,57,Crater,88
388,-50.3,695,56,Valley,90
389,-54.7,719,55,Rocky,81
390,-55.9,725,54,Sandy,78
391,-53.2,710,53,Crater,84
392,-52.5,708,52,Valley,86
393,-56.6,730,51,Rocky,76
394,-57.7,737,50,Sandy,71
395,-51.4,702,49,Crater,88
396,-50.6,696,48,Valley,89
397,-54.3,718,47,Rocky,82
398,-55.7,723,46,Sandy,79
399,-53,712,45,Crater,84
400,-52.8,707,44,Valley,85
401,-54.5,717,43,Rocky,81
402,-55.6,724,42,Sandy,78
403,-53.4,711,41,Crater,84
404,-52.6,708,40,Valley,86
405,-56.8,731,39,Rocky,75
406,-57.5,736,38,Sandy,72
407,-51.3,702,37,Crater,88
408,-50.5,697,36,Valley,90
409,-54.1,718,35,Rocky,82
410,-55.8,725,34,Sandy,78
411,-53.2,710,33,Crater,84
412,-52.7,709,32,Valley,85
413,-56.6,730,31,Rocky,76
414,-57.8,738,30,Sandy,71
415,-51.6,703,29,Crater,87
416,-50.4,696,28,Valley,90
417,-54.7,719,27,Rocky,81
418,-55.4,723,26,Sandy,79
419,-53.5,713,25,Crater,83
420,-52.3,707,24,Valley,86
421,-56.9,733,23,Rocky,75
422,-57.6,735,22,Sandy,73
423,-51.2,701,21,Crater,88
424,-50.6,697,20,Valley,89
425,-54.3,717,19,Rocky,82
426,-55.7,724,18,Sandy,78
427,-53.3,711,17,Crater,84
428,-52.5,708,16,Valley,85
429,-56.5,729,15,Rocky,76
430,-57.9,738,14,Sandy,70
431,-51.5,702,13,Crater,88
432,-50.3,695,12,Valley,91
433,-54.6,718,11,Rocky,81
434,-55.5,722,10,Sandy,79
435,-53.7,714,9,Crater,83
436,-52.2,706,8,Valley,86
437,-56.7,731,7,Rocky,75
438,-57.4,734,6,Sandy,73
439,-51.8,704,5,Crater,87
440,-50.7,698,4,Valley,89
441,-54.2,716,3,Rocky,82
442,-55.8,725,2,Sandy,78
443,-53.1,710,1,Crater,84
444,-52.8,709,95,Valley,85
445,-56.4,728,94,Rocky,76
446,-57.7,737,93,Sandy,71
447,-51.4,702,92,Crater,88
448,-50.5,696,91,Valley,90
449,-54.8,719,90,Rocky,81
450,-55.6,724,89,Sandy,78
451,-53,711,88,Crater,84
452,-52.6,707,87,Valley,86
453,-56.6,730,86,Rocky,76
454,-57.5,736,85,Sandy,72
455,-51.7,703,84,Crater,87
456,-50.4,697,83,Valley,89
457,-54.4,718,82,Rocky,82
458,-55.7,723,81,Sandy,79
459,-53.4,712,80,Crater,84
460,-52.7,708,79,Valley,85
461,-56.8,732,78,Rocky,75
462,-57.3,735,77,Sandy,73
463,-51.3,701,76,Crater,88
464,-50.6,698,75,Valley,90
465,-54.1,717,74,Rocky,82
466,-55.9,725,73,Sandy,78
467,-53.2,710,72,Crater,84
468,-52.5,706,71,Valley,86
469,-56.5,729,70,Rocky,76
470,-57.8,738,69,Sandy,71
471,-51.6,703,68,Crater,88
472,-50.3,696,67,Valley,90
473,-54.6,719,66,Rocky,81
474,-55.4,724,65,Sandy,79
475,-53.6,713,64,Crater,83
476,-52.4,707,63,Valley,86
477,-56.9,733,62,Rocky,75
478,-57.6,736,61,Sandy,72
479,-51.1,701,60,Crater,88
480,-50.7,697,59,Valley,89
481,-54.3,717,58,Rocky,82
482,-55.5,723,57,Sandy,79
483,-53.3,711,56,Crater,84
484,-52.9,709,55,Valley,85
485,-56.7,731,54,Rocky,75
486,-57.4,734,53,Sandy,73
487,-51.5,702,52,Crater,87
488,-50.4,695,51,Valley,90
489,-54.7,718,50,Rocky,81
490,-55.8,725,49,Sandy,78
491,-53.1,710,48,Crater,84
492,-52.6,708,47,Valley,86
493,-56.6,730,46,Rocky,76
494,-57.7,737,45,Sandy,71
495,-51.4,703,44,Crater,88
496,-50.5,696,43,Valley,89
497,-54.2,717,42,Rocky,82
498,-55.6,724,41,Sandy,79
499,-53.5,712,40,Crater,83
500,-52.8,707,39,Valley,85
