Student,Branch,CGPA,Interview_Score,Package (LPA),Company
S082,ME,8.3,82,8.4,Tata Motors
S083,ECE,8.9,91,13.6,Qualcomm
S084,IT,8.7,88,12.7,Accenture
S085,CSE,9.4,97,23.5,Microsoft
S086,EE,8.1,80,7.9,TCS
S087,ECE,8.6,86,11.6,Intel
S088,ME,7.7,74,6.4,Mahindra
S089,IT,9,92,16.2,IBM
S090,CSE,9.3,95,21,Amazon
S091,Civil,7.3,71,5.5,L&T
S092,ECE,8.8,89,13.4,Samsung
S093,IT,8.5,85,10.8,Infosys
S094,CSE,9.5,98,25,Google
S095,ME,8.2,81,8.1,Tata Motors
S096,EE,7.9,78,7.2,Wipro
S097,ECE,8.7,87,12.4,Qualcomm
S098,IT,9.1,93,17.8,Adobe
S099,CSE,9.6,99,27,Microsoft
S100,Civil,7.5,72,5.8,L&T
S101,CSE,9.2,94,19,Amazon
S102,ECE,8.6,86,11.5,Intel
S103,IT,8.8,89,13.5,Accenture
S104,ME,7.8,76,6.8,Mahindra
S105,EE,8.3,82,8.5,TCS
S106,Civil,7.1,69,5.2,L&T
S107,CSE,9.5,98,25,Google
S108,ECE,8.9,90,13.8,Samsung
S109,IT,9,92,16,IBM
S110,ME,8.2,80,7.6,Tata Motors
S111,CSE,9.3,96,21,Microsoft
S112,EE,7.7,75,6.7,Wipro
S113,ECE,8.5,85,11,Qualcomm
S114,IT,8.7,87,12.9,Infosys
S115,Civil,7.4,73,5.7,L&T
S116,CSE,9.6,99,27,Google
S117,ME,8,78,7.2,Mahindra
S118,ECE,8.8,88,13,Intel
S119,IT,9.1,93,17.5,Adobe
S120,EE,8.1,80,7.8,TCS
S121,CSE,9.4,97,23,Amazon
S122,Civil,7.6,74,6,L&T
S123,ECE,8.4,83,10.2,Samsung
S124,IT,8.9,90,14,IBM
S125,ME,7.9,77,7,Tata Motors
S126,CSE,9.7,99,28,Microsoft
S127,EE,8.2,81,8,Wipro
S128,ECE,8.7,87,12.6,Qualcomm
S129,IT,9.2,94,18.5,Adobe
S130,Civil,7.3,71,5.5,L&T
S131,CSE,9.5,98,26,Google
S132,ME,8.1,79,7.5,Mahindra
S133,ECE,8.6,86,11.7,Intel
S134,IT,8.8,89,13.3,Accenture
S135,EE,7.8,76,6.9,TCS
S136,CSE,9.3,95,21.5,Amazon
S137,Civil,7.5,72,5.8,L&T
S138,ECE,8.9,91,14.2,Samsung
S139,IT,9,92,16.5,IBM
S140,ME,8.3,82,8.3,Tata Motors
S141,CSE,9.6,99,27.5,Google
S142,EE,8,79,7.4,Wipro
S143,ECE,8.5,84,10.8,Qualcomm
S144,IT,8.7,88,12.5,Infosys
S145,Civil,7.2,70,5.4,L&T
S146,CSE,9.4,97,24,Microsoft
S147,ME,8.1,80,7.7,Mahindra
S148,ECE,8.8,90,13.7,Intel
S149,IT,9.1,93,17.2,Adobe
S150,EE,7.9,78,7.1,TCS
