Student_ID,Course,Hours_Studied,Quiz_Score,Completion_Percentage,Device,Country
S053,Web Development,5,76,80,Mobile,UK
S054,Machine Learning,9,95,98,Laptop,India
S055,Database,4,69,73,Tablet,USA
S056,Python,6,82,86,Laptop,Germany
S057,Data Science,10,99,100,Laptop,Australia
S058,Web Development,7,85,89,Mobile,Canada
S059,Machine Learning,8,93,96,Laptop,UK
S060,Database,5,77,81,Tablet,India
S061,Python,9,94,96,Laptop,USA
S062,Data Science,6,83,88,Mobile,Germany
S063,Web Development,4,72,76,Tablet,Australia
S064,Machine Learning,10,98,99,Laptop,Canada
S065,Database,7,86,90,Laptop,UK
S066,Python,5,80,84,Mobile,India
S067,Data Science,8,91,94,Laptop,USA
S068,Web Development,6,79,83,Tablet,Germany
S069,Machine Learning,9,96,98,Laptop,Australia
S070,Database,3,65,70,Mobile,Canada
S071,Python,7,88,92,Laptop,UK
S072,Data Science,10,97,99,Laptop,India
S073,Web Development,5,75,79,Mobile,USA
S074,Machine Learning,8,92,95,Laptop,Germany
S075,Database,6,81,85,Tablet,Australia
S076,Python,4,73,77,Mobile,Canada
S077,Data Science,9,95,97,Laptop,UK
S078,Web Development,7,86,90,Tablet,India
S079,Machine Learning,10,99,100,Laptop,USA
S080,Database,5,78,82,Mobile,Germany
S081,Python,8,90,93,Laptop,Australia
S082,Data Science,6,84,88,Tablet,Canada
S083,Web Development,4,71,75,Mobile,UK
S084,Machine Learning,9,97,98,Laptop,India
S085,Database,7,87,90,Laptop,USA
S086,Python,5,79,84,Tablet,Germany
S087,Data Science,8,93,96,Laptop,Australia
S088,Web Development,6,82,86,Mobile,Canada
S089,Machine Learning,10,98,99,Laptop,UK
S090,Database,4,70,74,Tablet,India
S091,Python,7,86,90,Laptop,USA
S092,Data Science,9,95,97,Laptop,Germany
S093,Web Development,5,77,81,Mobile,Australia
S094,Machine Learning,8,92,95,Laptop,Canada
S095,Database,6,83,87,Tablet,UK
S096,Python,10,97,99,Laptop,India
S097,Data Science,7,89,92,Mobile,USA
S098,Web Development,4,72,76,Tablet,Germany
S099,Machine Learning,9,96,98,Laptop,Australia
S100,Database,5,80,84,Mobile,Canada
S101,Python,6,85,89,Laptop,USA
S102,Data Science,9,94,97,Laptop,India
S103,Web Development,4,72,76,Mobile,UK
S104,Machine Learning,10,98,99,Laptop,Canada
S105,Database,5,80,84,Tablet,Australia
S106,Python,8,91,94,Laptop,Germany
S107,Data Science,7,88,92,Mobile,USA
S108,Web Development,6,79,83,Tablet,India
S109,Machine Learning,9,96,98,Laptop,UK
S110,Database,3,67,71,Mobile,Canada
S111,Python,10,97,99,Laptop,Australia
S112,Data Science,5,81,85,Tablet,Germany
S113,Web Development,7,86,90,Laptop,USA
S114,Machine Learning,8,93,95,Laptop,India
S115,Database,6,84,88,Mobile,UK
S116,Python,4,73,77,Tablet,Canada
S117,Data Science,9,95,97,Laptop,Australia
S118,Web Development,5,76,80,Mobile,Germany
S119,Machine Learning,10,99,100,Laptop,USA
S120,Database,7,87,91,Tablet,India
S121,Python,8,90,93,Laptop,UK
S122,Data Science,6,82,86,Mobile,Canada
S123,Web Development,4,70,74,Tablet,Australia
S124,Machine Learning,9,97,98,Laptop,Germany
S125,Database,5,78,82,Mobile,USA
S126,Python,7,86,90,Laptop,India
S127,Data Science,10,98,99,Laptop,UK
S128,Web Development,6,81,85,Tablet,Canada
S129,Machine Learning,8,92,95,Laptop,Australia
S130,Database,4,71,75,Mobile,Germany
S131,Python,9,94,96,Laptop,USA
S132,Data Science,7,89,93,Tablet,India
S133,Web Development,5,77,81,Mobile,UK
S134,Machine Learning,10,99,100,Laptop,Canada
S135,Database,6,83,87,Tablet,Australia
S136,Python,8,91,94,Laptop,Germany
S137,Data Science,5,80,84,Mobile,USA
S138,Web Development,7,85,89,Laptop,India
S139,Machine Learning,9,96,98,Laptop,UK
S140,Database,3,65,69,Mobile,Canada
S141,Python,6,84,88,Tablet,Australia
S142,Data Science,8,92,95,Laptop,Germany
S143,Web Development,4,74,78,Mobile,USA
S144,Machine Learning,10,98,99,Laptop,India
S145,Database,7,86,90,Tablet,UK
S146,Python,5,79,83,Laptop,Canada
S147,Data Science,9,95,97,Laptop,Australia
S148,Web Development,6,82,86,Mobile,Germany
S149,Machine Learning,8,93,96,Laptop,USA
S150,Database,4,70,74,Tablet,India
S151,Python,10,97,99,Laptop,UK
S152,Data Science,6,85,89,Mobile,Canada
S153,Web Development,5,76,80,Tablet,Australia
S154,Machine Learning,9,96,98,Laptop,Germany
S155,Database,7,88,91,Mobile,USA
S156,Python,8,90,94,Laptop,India
S157,Data Science,4,73,77,Tablet,UK
S158,Web Development,6,81,85,Mobile,Canada
S159,Machine Learning,10,99,100,Laptop,Australia
S160,Database,5,79,83,Tablet,Germany
S161,Python,7,87,91,Laptop,USA
S162,Data Science,9,94,97,Laptop,India
S163,Web Development,3,68,72,Mobile,UK
S164,Machine Learning,8,92,95,Laptop,Canada
S165,Database,6,84,88,Tablet,Australia
S166,Python,5,78,82,Mobile,Germany
S167,Data Science,10,98,99,Laptop,USA
S168,Web Development,7,86,90,Tablet,India
S169,Machine Learning,9,97,98,Laptop,UK
S170,Database,4,71,75,Mobile,Canada
S171,Python,8,91,94,Laptop,Australia
S172,Data Science,6,83,87,Tablet,Germany
S173,Web Development,5,77,81,Mobile,USA
S174,Machine Learning,10,99,100,Laptop,India
S175,Database,7,85,89,Tablet,UK
S176,Python,9,93,96,Laptop,Canada
S177,Data Science,4,72,76,Mobile,Australia
S178,Web Development,6,80,84,Tablet,Germany
S179,Machine Learning,8,94,97,Laptop,USA
S180,Database,5,78,82,Mobile,India
S181,Python,10,98,99,Laptop,UK
S182,Data Science,7,89,92,Tablet,Canada
S183,Web Development,5,75,79,Mobile,Australia
S184,Machine Learning,9,96,98,Laptop,Germany
S185,Database,6,82,86,Tablet,USA
S186,Python,8,91,94,Laptop,India
S187,Data Science,5,80,84,Mobile,UK
S188,Web Development,7,86,90,Tablet,Canada
S189,Machine Learning,10,99,100,Laptop,Australia
S190,Database,4,70,74,Mobile,Germany
S191,Python,6,84,88,Laptop,USA
S192,Data Science,9,95,97,Laptop,India
S193,Web Development,3,66,70,Mobile,UK
S194,Machine Learning,8,93,96,Laptop,Canada
S195,Database,5,79,83,Tablet,Australia
S196,Python,7,87,91,Laptop,Germany
S197,Data Science,10,98,99,Laptop,USA
S198,Web Development,6,81,85,Mobile,India
S199,Machine Learning,9,97,98,Laptop,UK
S200,Database,4,72,76,Tablet,Canada
