Passenger_ID,Airline,Source_City,Destination_City,Ticket_Price,Flight_Duration,Travel_Class,Delay_Minutes
P049,Vistara,Bengaluru,Mumbai,5700,1.9,Business,20
P050,Akasa Air,Kolkata,Delhi,8200,2.8,First Class,
P051,IndiGo,Pune,Kolkata,6300,2.2,Economy,35
P052,Air India,Hyderabad,Chennai,5500,1.9,Economy,40
P053,SpiceJet,Jaipur,Hyderabad,6800,2.3,Business,50
P054,Vistara,Delhi,Pune,4600,1.6,Economy,60
P055,Akasa Air,Mumbai,Bengaluru,6100,2,Economy,70
P056,IndiGo,Chennai,Delhi,7900,2.8,First Class,80
P057,Air India,Kolkata,Jaipur,6400,2.2,Business,90
P058,SpiceJet,Bengaluru,Chennai,4300,1.4,Economy,100
P059,Vistara,Hyderabad,Mumbai,5900,2,Economy,110
P060,Akasa Air,Pune,Delhi,7000,2.5,Business,120
P061,IndiGo,Delhi,Mumbai,4800,2,Economy,5
P062,Air India,Chennai,Delhi,7200,2.6,Business,10
P063,SpiceJet,Bengaluru,Hyderabad,4100,1.4,Economy,15
P064,Vistara,Kolkata,Pune,5600,2,Economy,20
P065,Akasa Air,Jaipur,Delhi,4500,1.5,Economy,0
P066,IndiGo,Hyderabad,Chennai,6100,2.1,Business,8
P067,Air India,Mumbai,Kolkata,6900,2.4,First Class,12
P068,SpiceJet,Delhi,Bengaluru,7800,2.8,Business,25
P069,Vistara,Pune,Mumbai,3900,1.2,Economy,18
P070,Akasa Air,Chennai,Jaipur,6700,2.3,Economy,30
P071,IndiGo,Kolkata,Delhi,8200,2.9,First Class,45
P072,Air India,Hyderabad,Pune,5200,1.8,Economy,60
P073,SpiceJet,Mumbai,Chennai,6400,2.2,Business,35
P074,Vistara,Delhi,Hyderabad,7100,2.5,Economy,40
P075,Akasa Air,Bengaluru,Kolkata,7600,2.7,Business,22
P076,IndiGo,Pune,Jaipur,4700,1.6,Economy,17
P077,Air India,Chennai,Mumbai,5900,2,Economy,9
P078,SpiceJet,Delhi,Pune,5000,1.7,Economy,14
P079,Vistara,Hyderabad,Delhi,7500,2.6,Business,28
P080,Akasa Air,Kolkata,Chennai,6800,2.4,First Class,50
P081,IndiGo,Jaipur,Bengaluru,6200,2.2,Economy,55
P082,Air India,Mumbai,Delhi,4600,1.8,Economy,65
P083,SpiceJet,Chennai,Hyderabad,5400,1.9,Business,70
P084,Vistara,Bengaluru,Pune,4300,1.5,Economy,80
P085,Akasa Air,Delhi,Kolkata,8100,2.8,First Class,90
P086,IndiGo,Hyderabad,Mumbai,5700,2,Economy,100
P087,Air India,Pune,Chennai,6500,2.3,Business,110
P088,SpiceJet,Jaipur,Kolkata,6900,2.5,Economy,120
P089,Vistara,Mumbai,Bengaluru,6100,2.1,Economy,7
P090,Akasa Air,Delhi,Jaipur,4400,1.4,Economy,13
P091,IndiGo,Chennai,Delhi,,2.7,Business,19
P092,Air India,Hyderabad,Mumbai,5800,,Economy,24
P093,IndiGo,Kolkata,Pune,5600,2,Economy,32
P094,SpiceJet,Delhi,Chennai,7300,2.6,Economy,38
P095,Vistara,Bengaluru,,6400,2.2,Business,42
P096,Akasa Air,Mumbai,Hyderabad,5200,1.8,Economy,48
P097,IndiGo,Mumbai,Kolkata,,,Economy,53
P098,Air India,Jaipur,Delhi,4700,1.6,Business,58
P099,SpiceJet,Chennai,Bengaluru,4300,1.5,Economy,63
P100,Vistara,Hyderabad,Pune,,2,Business,68
P101,IndiGo,Delhi,Mumbai,4800,2,Economy,75
P102,Air India,Chennai,Delhi,7200,2.6,Business,85
P103,SpiceJet,Bengaluru,Hyderabad,4100,1.4,Economy,95
P104,Vistara,Kolkata,Pune,5600,2,Economy,105
P105,Akasa Air,Jaipur,Delhi,4500,1.5,Economy,115
P106,IndiGo,Hyderabad,Chennai,6100,2.1,Business,125
P107,Air India,Mumbai,Kolkata,6900,2.4,First Class,
P108,SpiceJet,Delhi,Bengaluru,7800,2.8,Business,
P109,Vistara,Pune,Mumbai,3900,1.2,Economy,20
P110,Akasa Air,Chennai,Jaipur,6700,2.3,Economy,
P111,IndiGo,Delhi,Mumbai,4800,2,Economy,35
P112,IndiGo,Delhi,Mumbai,4800,2,Economy,40
P113,Air India,Chennai,Delhi,7200,2.6,Business,50
P114,Air India,Chennai,Delhi,7200,2.6,Business,60
P115,SpiceJet,Bengaluru,Hyderabad,4100,1.4,Economy,70
P116,SpiceJet,Bengaluru,Hyderabad,4100,1.4,Economy,80
P117,Vistara,Kolkata,Pune,5600,2,Economy,90
P118,Akasa Air,Jaipur,Delhi,4500,1.5,Economy,100
P119,IndiGo,Hyderabad,Chennai,6100,2.1,Business,110
P120,Air India,Mumbai,Kolkata,6900,2.4,First Class,120
P021,IndiGo,Mumbai,Chennai,6400,2.2,Economy,
